title,link,company,summary
BioMind Data Scientist/Engineer (Relocate to Beijing),https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BDUONq67HhOc4QpYhnHoZOj267ZNnFRzPdIWfi6_lB7WL0Km0vLRE332Nt2Fn_bHGGBLr_n6YeiMt87iyVZeyvxPsdiI_7ET2nxgl6DexJOBUZj_Kw81JAtMhoFYCgE10cgCiphKUNWzV72TQCxSRvTg7wHKLnH3Hp6L2jrT3a0ox3WkSDP3f6tGvsgLNV6YBxrrITmMBQiqqgPjr1z8JJnBwwNFK1MgHOD10hWYEbS8241ejNqWaebhLmMuUrp3oQIIGYZn-SzyF_7Dzp_WupU03NsTmdgcT19B318aIapW2QuBkALq1Oualrv4gpRQWeiCPU6CV8TXPzqh9PELiuyw9C4p41U_Odba_6v3eP-YoThd2DietK1dhjLquVmfU7hXnMIdwpPzj7WOUPlL3oq-yjKuEegRjQfsvOkdZgpN3ZMAovEUoCNHgDDIW0paFXZigv9fKBqCmCg_TRUq9jaOAzFpSw5JWbIRzzAGuCHXQhXLXpnFRRs6rxK5xYsRg=&vjs=3&p=0&fvj=1,biomind.ai,"The candidate will write high quality model with high performance and good memory management, together with state-of-the-art accuracies and embed into our..."
Software Engineer (R&D / Product Development),https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0DeDQaCCNH4TVQJq2yzNWktIJ0vyeJr6KV6n_kEUXRmuN6efMoXsHwol5Fws6Q0wE85CS6xFAnFXlJmpmjuNunXfCIpx6O1qGbaAnOcFl7xBHan7KK-x_6W99ZFRb3nKz8fgwELef4r1lCN-vb7A0mvImhwwOQua0EXuMdeD8Rk0XDzf8Uc_wGpW_QBdZpzpZlSZKzunqBLEM9wA10huTjOVd7NMk92QMtSxO2Tw6NDqdI6bBNGGjyXGSMCDzakyw1Ntl7iTQht0iSGiFlqipJ-lF-8xmv1eyaRoD_2I6J-QVefonYzjvqHr_z9ZVtRTcJPLX7xIhLDBKcDPfnO0PjP9tkR13DxbkgukS-Q4LUmJfOmG-Q9EqFHA-CuTFpMZv5Q2D-Rxih63aJFqcdt7Eaf5Ms-N-zVKcFts_l1mg1qh70EfZojEQcujKI1wEyezfKiFZka85qQ5oYYtfuwCR6WF1Ou2NQbRpP4obSI0KOnPw==&vjs=3&p=1&fvj=1,ASM Technology Hong Kong Limited,Responsible for semiconductor equipment software development. Integrate with machine vision software for alignment and inspection in micron scale....
Software Quality Assurance Engineer,https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0B8IW0wFtu6RAPOsXwf_eai0DMUdVztEsE9a-1HC_Z_y-87E8fUAP1px-xUXoN99whhPcqKRo0JDfn52bMfP0CmRd5Rba17uWa2zWr6fFUdiwOzTAZ0C_yuGEKz1PIRg6mjj20KIcfQs3I7w-d58HM9uvSXyv9Cn_jPy2lnmIsVqvH3a2spxF3fziiCzu5IA-UPO7oaIcZu9K2iX5qOHlfE31OcaeIorzWxjDede_PWLoVq10BLUgwCZMYXl60cPTuaBvlziLlLVu-cetQdeQeTrx4wmuNlAhVnx2MlqEWMvvBi2DiQxTsQ6_NJ7DeJuufOrnqX7fDgSB9QssN9OL5WKq4qdGuq2bucj0zJl9fP0DugUTvYUhSFu7qng5yzyoqXshaSZ-ybmxc2ooZmMpRWvMYa2Sajl1uKrzCbF99or7axn8uXypOLtP3e9XF0I1URa3uKADDBQmi1GYkVv2dXK5c6tJ-RuII=&vjs=3&p=2&fvj=1,Asia Ticketing Limited,We are looking for a highly motivated QA Engineer to develop and execute exploratory and automated tests to ensure product quality....
Software Engineer / Developer (C#),https://www.indeed.hk/pagead/clk?mo=r&ad=-6NYlbfkN0BBhZYZZ7bY_Q2-fWzXB8nQYCzWpr80zNz3fSsAHgtb9q-7wlKkIieoG85tHChHuoRBX3rYgBritGy-YOFgWEICbedcv8qed13GMamhlkwrdkvfEJCgQMygLzgUVhHvPPmth0hCjQxki747mKjMIYRv5DW-4WOor5Es6nPQrln57MrhLqNx98d1STssLhUq_bZoJ19PDPoUoEg2JlBPDHU1Ix5q49_FCPVgFXNPdzQBSKhrigrl7mAdxBu1H07TpbQXefvT00H5mvlJFQy3YRfx586QvymY648q3ujZIc58YewIUKulc0HdUW5MlaBex2gBsyGI_HLmw3KDt9KyJl3fiEd2Y_ufirRm9eJb3pGwF385KgL9wV1Qv5NgJcvMzhcUsckYjcFVeDiEUfeCWXEMmtofXarE3Q9HPHAvQSJSk7hqz_XfOtVEkn6lyF5K1bbpcrwkS-62tk1QdZrCih3uMM9xZ1IH2BldtY-Z3e3YKy0CfAeJsPyoIHsvqUbksj-ddbpmqHM3BqJ5vTRp4HS-RebKc7-_UhIeF9a2expKFb0JAGmRkc-cnr_xouEKmHb9X7NEvKgptsyI4sZ8tSmt2eZ1pNKd191y2JbZqR5k26A7TjU_Jd2FNcs_DrimePor1OvWy4z2v5o-A8i-SCDMBu6205h5B-L9b27SMAFovESBJgIMRUPHvdpzNhyvPaPJuG-DjOxuqT0iV3q2Khg2VCCUD74vkQdMgP2PsE-GWCLrigkG3wfOjVZbumHcyvYltQF0ju9KtpxbRyKJHOK_fBw7lhkTdugElebrGPU82dZdM1LQV96zcRrDBTpOp2XjqHvdrDm_KmDr-iT7XK0w&vjs=3&p=3&fvj=0,Mainstay Asia,Work with other C# software engineers to deliver high quality software according to timeline. 5+ years of software development experience with strong technical...
Junior Programmer / IT Engineer,https://www.indeed.hk/company/Radiance-Tech-Int%27l-Ltd./jobs/Junior-Programmer-78caf4981cc231a0?fccid=88ce262981301740&vjs=3,Radiance Tech Int'l Ltd.,"System software design, analysis and development. Responsible for coding, application implementation and documentation...."
Technical Support Engineer,https://www.indeed.hk/company/Seekers-Capital-Group/jobs/Technical-Support-Engineer-b258829cf55739f8?fccid=f739a8d0ed102c38&vjs=3,Seekers Capital Group,"Liaise with software vendors. Services to the users including hardware, software, system and related issues...."
Front End Developer,https://www.indeed.hk/company/Great-Union-Human-Ca/jobs/Front-End-Developer-5524c9580b721347?fccid=c42fda871aef5dd0&vjs=3,JobsRnR,"We use the latest technologies to create great software. As a Front-End Engineer, you will be in charge of your own application projects, as part of an..."
IT System Engineer,https://www.indeed.hk/company/KaiOS/jobs/IT-System-Engineer-8f38a71cff059f6c?fccid=1a71f05ed9745d92&vjs=3,KAIOS TECHNOLOGIES (HONG KONG) LIMITED,"Provide daily technical support to internal users for desktop systems (computers, software, printers, network etc.)...."
Graduate Geotechnical Engineer,https://www.indeed.hk/company/Jacobs/jobs/Graduate-Geotechnical-Engineer-f4c4867f57a178d9?fccid=de56d7554bea5214&vjs=3,CH2M,Graduate Geotechnical Engineer*. More experience will be consider as Assistant Geotechnical Engineer. Ability to use geological/geotechnical/geospatial software...
"Asset & Wealth Management Technology, Core Engineering Softw...",https://www.indeed.hk/rc/clk?jk=be1d4ecf40ffa8c6&fccid=c46d0116f6e69eae&vjs=3,JP Morgan Chase,Hands-on experience of building software solutions on Private Cloud such as Pivotal Cloud Foundry or Public Cloud such as Amazon Web Services (AWS)....
