title,link,company,summary
Full Stack Engineer,https://www.seek.com.au/job/39017973?type=promoted&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Ivory Group,Fantastic opportunity for an established Developer to work on exciting projects within a dynamic team environment.
Full Stack Software Engineer,https://www.seek.com.au/job/38937099?type=promoted&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Agworld,Exciting opportunity for a Software Developer to work on industry-leading projects in a vibrant and friendly environment.
Software Engineer - Oceania,https://www.seek.com.au/job/39114404?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Esko Graphics Pte Ltd,Provide technical support on Esko's Software Solutions – primarily on ArtiosCAD and Esko Prepress Software
RESEARCH APPLICATIONS SOFTWARE ENGINEER,https://www.seek.com.au/job/39114618?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,The University Of Melbourne,Are you a keen software engineer with a fascination for data and compute-intensive research?
Software Engineer (Java),https://www.seek.com.au/job/39111856?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,The Decipher Bureau,Opportunity to join a rapidly growing team who are integrating a number of applications within a Cyber department. Cyber experience not required.
Software Engineer - Comptel,https://www.seek.com.au/job/39113799?type=standout&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Peoplebank Australia VIC,I am in a lookout for a Comptel Software Engineer for my client in Melbourne to take up a 6 months contract with a view of extension.
Junior Software Engineer - WestConnex Stage 3A Project,https://www.seek.com.au/job/39119712?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,SICE Pty Ltd,Be part of one of the largest infrastructure projects in Australia and enhance your software development skills.
Lead Software Engineer,https://www.seek.com.au/job/39123802?type=standout&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Oceans Group 2,EduTech based in the CBD looking for a Lead Engineer to join a high performing team delivering changing the way Superannuation is managed in Australia
Software Engineer Lead,https://www.seek.com.au/job/39116384?type=standout&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Kinetic IT,We're revolutionising the way we support our customers and setting a new standard in the industry. Join the team that will make this happen!
Full-Stack Software Engineer,https://www.seek.com.au/job/39126474?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Intuit Australia,Full-stack role on a product that has over 3.5 million customers and is used in over 190+ countries
Java Software Engineer,https://www.seek.com.au/job/39110782?type=standout&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Cubic Transportation Systems,Are you hungry for a role that offers an opportunity for growth and development?
Software Engineer,https://www.seek.com.au/job/39122220?type=standout&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Tetracon Resourcing,NV1 Cleared Software Engineers required to work on radio frequency engineering for military projects.
Software Engineer,https://www.seek.com.au/job/39107955?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Robert Walters,This is an exciting opportunity to join a highly motivated and collaborative team. A great chance to take responsibility for your work.
Software Engineer,https://www.seek.com.au/job/38935153?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,DXC Technology Australia Pty LTD,Multiple opportunities exist for experienced Software Engineers to work with cutting edge ICT technologies across various Defence Programs for DXC
C++  & Qt Software Engineer (Mining Technologies),https://www.seek.com.au/job/39113146?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Task Recruitment,Develop innovative in cab solutions involving 3D math & algorithms used in graphics & or robotics for this mining technology provider
Senior Software Engineer,https://www.seek.com.au/job/39113286?type=standout&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,:86 400,"The Senior Software Engineer is responsible for all aspects of software development, taking ideas from design to production."
Software Engineer,https://www.seek.com.au/job/39109452?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,EIDETIKA PTY LTD,"EIDETIKA is a Sydney-based digital studio specializing in creative problem-solving. We’re looking for a Software Engineer, who will help our business"
Software Engineer - Fuel Management Systems,https://www.seek.com.au/job/39125647?type=standout&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,"Department of Environment, Land, Water and Planning","Be part of a small team responsible for the design, development, testing and delivery of the Fuel Management System"
Software Engineer C++,https://www.seek.com.au/job/39112416?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Randstad - Technologies,We are looking for Software Engineers (C++) for an international client based in Brisbane CBD.
Software Engineer,https://www.seek.com.au/job/39120051?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Robert Walters,Be part of developing a next-generation communication system in this leading aerospace company | Call Helen: (07) 3032 2281
Software Engineer (iOS),https://www.seek.com.au/job/39115228?type=standard&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Tigerspike,"Are you ready to move into a role which has lots of variety, great people and lots of office activities? Then keep reading!"
Full Stack Software Engineer (Data Science),https://www.seek.com.au/job/39122629?type=standout&searchrequesttoken=e2a3b42b-74e1-49b0-889f-ddd623f1659b,Bpay Group Limited,Sypht is a new business recently launched by BPAY Group.
Software Engineer PHP Developer Laravel,https://www.seek.com.au/job/39090842?type=promoted&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Study Space,This is a Permanent Part Time Role as the days are flexible throughout the week. We are looking for a Developer available Two to Three Days a Week
.Net Developer,https://www.seek.com.au/job/39000075?type=promoted&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Infocomm Pty Ltd,Opportunity to be part of a highly successful and growing ERP Software company where you ideas can come to life.
Software Engineer,https://www.seek.com.au/job/39122363?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Robert Walters,Be part of a team that are developing leading-edge systems and working on seriously interesting projects.  | Call Helen: (07) 3032 2281
Software Engineer,https://www.seek.com.au/job/39115214?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Chandler Macleod Group,"Do you want to work on state of the art, cutting edge solutions and progress your career with a renowned, international organisation? APPLY NOW!"
Software Engineer,https://www.seek.com.au/job/39108950?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Paxus,Looking for a Software Engineer to join a company for 6 months contract!
Software Engineer (Java)- $110k-$120k plus super,https://www.seek.com.au/job/39096504?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Just Digital People,Fast-growing start-up which is disrupting the way brands use data analytics to enhance their sales and marketing strategies!
Senior Software Engineer,https://www.seek.com.au/job/39115540?type=standout&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,The Onset,Building a blockchain platform to disrupt the financial trading sector.
Level 2 - Software Engineer,https://www.seek.com.au/job/39116359?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Aviation Labour Group,ALG has an exciting opportunity for Software Engineers to join a well-established aerospace organisation.
Software Engineer,https://www.seek.com.au/job/39118318?type=standout&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Ignite,Software Engineer - C#
Solution Architect Engineer -Software,https://www.seek.com.au/job/39116199?type=standout&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Schneider Electric,"Are you an out of the box thinker? Do you love solving problems with your creative mind, this may the role for you! Based in Melbourne or Sydney."
Software Engineer,https://www.seek.com.au/job/39087264?type=standout&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Technology People,Multiple polyglot Software Engineers required to build out a 100% digital banking platform
Software Engineer,https://www.seek.com.au/job/38935147?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,DXC Technology Australia Pty LTD,"Excellent opportunity for a Software Engineer to join DXC which will see you perform software requirements, designs, constructions & integrations."
Senior Software Engineer - Digital Currency - 3 Days per Week,https://www.seek.com.au/job/39124205?type=standout&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,TWMT PTY LTD,We're looking for a motivated and experienced Javascript developer to join our team.
Full Stack Software Engineer (Product),https://www.seek.com.au/job/39120311?type=standout&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Bpay Group Limited,Sypht is a new business recently launched by BPAY Group.
"Junior Software Engineer - Java, Javascript",https://www.seek.com.au/job/39102482?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,MCS Consulting,Enthusiastic and intellectually curious junior developers required to join an Australian company leading the world in its field
Software Engineer,https://www.seek.com.au/job/39122242?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Chandler Macleod Group,6 month contract for an experienced Software Engineer working for a large IT company based in Melbourne
Software Engineer - Fuel Management Systems,https://www.seek.com.au/job/39125648?type=standout&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,"Department of Environment, Land, Water and Planning","Be part of a small team responsible for the design, development, testing and delivery of the Fuel Management System"
Software Engineer,https://www.seek.com.au/job/39093247?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,NewtonGreen Technologies,Newcastle based NewtonGreen Technologies is on the lookout for talented and motivated software engineers to join our expanding team.
Lead Engineer Software,https://www.seek.com.au/job/39115462?type=standout&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,MNF Group Limited,"We are looking for a Lead Engineer Software to join our Technology team based in Sydney, CBD office."
Senior Software Engineer - Golang,https://www.seek.com.au/job/39109041?type=standout&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,The Onset,"Join a fast-growing FinTech company and build a brand-new greenfield customer-facing platform, written in Go."
Software Performance Engineer,https://www.seek.com.au/job/39106546?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Balance Recruitment,International financial giant seeks a Java Performance Engineer to work on the holistic strategy for complex global payment system.
Specialist Engineer - Mine Planning Software - Perth,https://www.seek.com.au/job/39098932?type=standard&searchrequesttoken=fa2fb0e9-2d7d-43c9-9e1f-0622fbb8ca93,Rio Tinto,Use your in-depth knowledge of a variety of mine planning & scheduling software to set & shape the business direction of our operating sites!
Full Stack Software Engineer,https://www.seek.com.au/job/38913682?type=promoted&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Pivotel Satellite Pty Limited,"This position is based at Pivotel’s Gold Coast headquarters, will be to architect, develop, & release Tracertrak application software systems"
Software Engineer,https://www.seek.com.au/job/38951705?type=promoted&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Spriggy,"Use Python to make features, fix bugs, improve performance and join a fast-growing startup in a rapid growth period."
Software Engineer,https://www.seek.com.au/job/39115426?type=standard&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Chandler Macleod Group,"Mulitple roles available with leading Defence & Aerospace enterprise in Brisbane | Java, Python, C++"
Software Engineer,https://www.seek.com.au/job/39098065?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,The BANKTECH Group Pty Ltd,"Design, development and support of .Net/C# software products within the gaming and hospitality industries."
Software Engineer (Java/Python),https://www.seek.com.au/job/39117920?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Hudson,"A great opportunity to work on cutting edge technologies, get involved in a leading project and grow skills in exciting Java/Python tech stacks!"
Software Engineer (Data),https://www.seek.com.au/job/39074360?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,VGW,Software Data Engineer with a good background in DevOps required to join the team of professionals at VGW.
2 X Software Engineer Android,https://www.seek.com.au/job/39110492?type=standard&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,PATH4 Technology,"Permanent Opportunity
Negotiable Salary Package"
Principal Software Engineer,https://www.seek.com.au/job/39121086?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Cohort Go,We are software company changing the international education industry by making it easier and cheaper for students to move across borders.
Software Engineer,https://www.seek.com.au/job/39098192?type=standard&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Federation University Australia,"-	Full-time, fixed-term appointments in Ballarat
-	$84,752 to $91,739 p.a. plus 17% superannuation
-	Digital monitoring project"
Full Stack Software Engineer,https://www.seek.com.au/job/39101351?type=standard&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,PCCW Global,"We are seeking Full Stack Software Engineers with experience in ReactJS, NodeJS, Java and/or Python to join our passionate team."
Software Engineer - Full stack React/Java,https://www.seek.com.au/job/39116212?type=standard&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Xpand Group Pty Ltd,A market leading Global Fintech company.
Software Engineer - C#/ASP.NET | Full Stack Development Opportunity,https://www.seek.com.au/job/39120013?type=standard&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Davidson Technology,Existing as well as new products! Full SDLC! Agile Environment! MVC! 3D! Virtual Reality (VR) Gamification! Mobile! Web application products!
Software Engineer,https://www.seek.com.au/job/39085932?type=standard&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Robert Walters,An excellent opportunity for a Software Engineer to join a world renown organisation in the aerospace industry based in Brisbane.
NV1/NV2/TSPV Software Engineer,https://www.seek.com.au/job/39103373?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,CPS IT Consulting Pty Ltd,Document and Deliver Software Solutions
Principal Software Engineer,https://www.seek.com.au/job/39122209?type=standard&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Progressive,Progressive IT recruitment are looking for a Principle Software Engineer who wants to lead a lean and agile team within an award winning company.
Full-Stack Software Engineer,https://www.seek.com.au/job/39096069?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,DIUS Computing Pty Ltd,"We're looking for passionate and intelligent Software Engineers experienced in React as well as Nodejs, Ruby or Java to join our Melbourne team."
.NET Software Engineer,https://www.seek.com.au/job/39090586?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Evolution Recruitment Solutions Pty Ltd,"One of the fastest growing tech start-ups in Australia, gone global! Come join the journey using new technology to build fluid, fast experiences!"
Software Engineer,https://www.seek.com.au/job/39096134?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,DIUS Computing Pty Ltd,Be part of an exciting software consulting company Work within a diverse and inclusive environment Sydney CBD location
Software Engineer (Comptel),https://www.seek.com.au/job/39122972?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Launch Recruitment Pty Ltd,Join a large telecommunications organisation and utilise your Comptel experience to deliver ongoing IT change to a unique set of business processes
Mid or Junior Software Engineer - C#,https://www.seek.com.au/job/39088039?type=standard&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,MCS Consulting,"Work one-on-one with an architect to support this smart-grid company! No repetition, heaps of variety."
Software Engineer,https://www.seek.com.au/job/39117696?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,Ambition Technology,Are you a .Net Engineer who wants to work at one of Australia's top Tech companies working on React / .Net Core apps? then apply now!
Senior Software Engineer (Remotely or On-site),https://www.seek.com.au/job/39126307?type=standout&searchrequesttoken=de1b6af1-8869-4c1c-8c5e-f297a67a4561,SmartWard,Work at our office or from home for our dynamic and innovative venture; join our great team developing clinical information systems for aged care.
Software Engineer or Developer - Modelling and Simulation,https://www.seek.com.au/job/39079998?type=promoted&searchrequesttoken=e1aca148-4392-4648-aec2-8290dbfc0421,YTEK Pty Ltd,UNIQUE opportunity for suitable Software Engineer with Modelling and Simulation experience and Security Clearance
Full Stack Java/JavaScript Developer,https://www.seek.com.au/job/38907330?type=promoted&searchrequesttoken=e1aca148-4392-4648-aec2-8290dbfc0421,Vonex Limited,Vonex is a technology company that are looking for an experienced Software Engineer to help develop a range of exciting phone and voice applications.
Junior Software Engineer,https://www.seek.com.au/job/39084861?type=standout&searchrequesttoken=e1aca148-4392-4648-aec2-8290dbfc0421,Objective Corporation,A young energetic software developer needed to join our close knit product development team
Senior Software Engineer,https://www.seek.com.au/job/39111783?type=standout&searchrequesttoken=e1aca148-4392-4648-aec2-8290dbfc0421,Switch Automation,We are seeking an experienced and passionate Software Engineer who has at least five years in developing complex software applications.
2 X Software Engineer Android,https://www.seek.com.au/job/39080388?type=standard&searchrequesttoken=e1aca148-4392-4648-aec2-8290dbfc0421,PATH4 Technology,Permanent Position
